danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.621,0.238,6,-10.18,1,0.028,0.925,1.22e-06,0.124,0.321,97.211,5Yx5PhdnwhNzLMBl34TZw4,273573,4
0.589,0.432,10,-14.089,0,0.0361,0.00919,0.195,0.0949,0.605,124.084,1d9KF847JVwN14mR4zBe8l,290733,4
0.616,0.682,6,-6.148,0,0.0265,0.0578,0.0241,0.342,0.528,117.78,2UWdUez9MB9yzL7Y81Mcip,315200,4
0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,7nnWIPM5hwE3DaUBkvOIpy,232453,4
0.804,0.696,7,-7.47,1,0.0899,0.00877,0.000985,0.314,0.657,95.721,3B4q6KbHbGV51HO3GznBFF,170907,4
0.394,0.743,9,-3.227,1,0.0305,0.0284,4.9e-06,0.0826,0.188,78.508,178WtqxTWgieTGtt7yOtdR,195533,4
0.64,0.864,7,-6.576,1,0.0314,0.00832,0.0,0.123,0.701,102.026,42et6fnHCw1HIPSrdPprMl,268360,4
0.73,0.445,6,-8.376,0,0.0446,0.142,0.00109,0.107,0.075,105.976,1VSngtLdJhrlfHkLxTyOXK,280131,4
0.521,0.487,0,-10.259,1,0.042,0.724,0.00141,0.196,0.657,176.038,6QF3vavxEItY8ru6DcL9N2,303547,4
0.762,0.484,11,-12.368,0,0.0311,0.812,0.389,0.0841,0.415,122.916,5UBBJnFxsfjFxfrtvErQoH,201947,4
0.475,0.885,11,-4.735,0,0.0533,2.24e-05,9.93e-05,0.279,0.413,133.951,66bLKGXOk3kPWWHP7Tbrki,159651,4
0.566,0.617,10,-4.166,1,0.035,0.0146,0.0,0.128,0.23,119.945,3erMpGAv6cGCEcYcaE19p1,207775,4
0.723,0.801,0,-3.413,1,0.0623,0.369,1.47e-05,0.194,0.738,109.0,5qJOKIrlNVOe4QdhJHS2di,176280,4
0.606,0.848,9,-4.228,1,0.0549,0.00101,1.61e-06,0.318,0.863,154.043,2fQE3IKIgFAuUsuD4rWvjq,186418,5
0.635,0.67,11,-5.922,0,0.0299,0.00709,0.0,0.123,0.414,95.997,2XmcVGC8s33zjG2aeVTnFe,214463,4
0.769,0.663,1,-5.649,0,0.0395,0.0943,1.12e-06,0.133,0.46,94.966,5PXdLJJWQJTOpfHdPkMsOw,152470,4
0.573,0.755,11,-6.472,1,0.246,0.0249,1.08e-05,0.209,0.77,154.719,5H2S5j4118NviHkRZLUndn,181043,4
0.526,0.857,9,-5.718,1,0.171,0.0114,0.0,0.0816,0.551,159.841,7yYDTV3VQ322o8r4wcYlqZ,129056,4
0.743,0.832,5,-3.937,1,0.0611,0.161,0.0,0.0925,0.801,149.951,2z7VITS30dBexE91V5QXWv,148847,4
0.743,0.659,10,-6.755,1,0.0343,0.0998,0.00028,0.0622,0.804,114.033,0L87MffumRNWrY2SNUFcvs,255160,4
0.811,0.592,5,-10.62,1,0.0406,0.155,2e-05,0.194,0.937,124.135,5lb54B539C4KACYuQg0o8H,225040,4
0.456,0.69,0,-8.092,1,0.0448,0.0215,0.0,0.0992,0.512,77.66,2e9OK4HiyXyAH5oEtaxnIc,219027,4
0.503,0.722,7,-5.813,1,0.0248,0.00214,8.15e-06,0.116,0.616,99.966,64n3vgI6JuqMv7F2H7kYdX,230987,4
0.464,0.824,10,-7.359,1,0.0374,0.467,0.018,0.33,0.539,109.298,6KOtheMY0KN4s9TrQHr9It,253720,4
